D:\Athul\Quant Development\Matching Engine>g++ matching_engine.cpp -o server.exe -lws2_32 && server.exe
1. Buy ID: 2,   Sell ID: 3,     Price: 100.5,   Quantity: 75,   Timestamp: Mon Jul 24 14:42:33 2023
Total Trades = 1
Engine Profit = 37.5
2. Buy ID: 4,   Sell ID: 4,     Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
3. Buy ID: 6,   Sell ID: 5,     Price: 101,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
4. Buy ID: 7,   Sell ID: 6,     Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
5. Buy ID: 12,  Sell ID: 9,     Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
6. Buy ID: 14,  Sell ID: 9,     Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
7. Buy ID: 13,  Sell ID: 10,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
8. Buy ID: 16,  Sell ID: 11,    Price: 101.25,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:34 2023
9. Buy ID: 16,  Sell ID: 9,     Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
10. Buy ID: 15,         Sell ID: 8,     Price: 100.75,  Quantity: 100,  Timestamp: Mon Jul 24 14:42:34 2023
11. Buy ID: 20,         Sell ID: 13,    Price: 100.25,  Quantity: 50,   Timestamp: Mon Jul 24 14:42:34 2023
12. Buy ID: 22,         Sell ID: 15,    Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
13. Buy ID: 23,         Sell ID: 16,    Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
14. Buy ID: 24,         Sell ID: 18,    Price: 100.75,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:34 2023
15. Buy ID: 21,         Sell ID: 19,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
16. Buy ID: 26,         Sell ID: 21,    Price: 100.75,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:34 2023
17. Buy ID: 27,         Sell ID: 23,    Price: 102,     Quantity: 75,   Timestamp: Mon Jul 24 14:42:34 2023
18. Buy ID: 28,         Sell ID: 24,    Price: 101,     Quantity: 75,   Timestamp: Mon Jul 24 14:42:34 2023
19. Buy ID: 31,         Sell ID: 29,    Price: 100.75,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:34 2023
20. Buy ID: 31,         Sell ID: 30,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
21. Buy ID: 30,         Sell ID: 30,    Price: 100,     Quantity: 50,   Timestamp: Mon Jul 24 14:42:34 2023
22. Buy ID: 29,         Sell ID: 30,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
23. Buy ID: 33,         Sell ID: 32,    Price: 100.5,   Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
24. Buy ID: 32,         Sell ID: 32,    Price: 100.5,   Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
25. Buy ID: 32,         Sell ID: 33,    Price: 100.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:34 2023
26. Buy ID: 29,         Sell ID: 38,    Price: 100,     Quantity: 75,   Timestamp: Mon Jul 24 14:42:35 2023
27. Buy ID: 25,         Sell ID: 38,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
28. Buy ID: 34,         Sell ID: 40,    Price: 101.5,   Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
29. Buy ID: 34,         Sell ID: 41,    Price: 101.5,   Quantity: 75,   Timestamp: Mon Jul 24 14:42:35 2023
30. Buy ID: 35,         Sell ID: 42,    Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
31. Buy ID: 37,         Sell ID: 43,    Price: 101.25,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:35 2023
32. Buy ID: 39,         Sell ID: 45,    Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
33. Buy ID: 40,         Sell ID: 47,    Price: 100.25,  Quantity: 50,   Timestamp: Mon Jul 24 14:42:35 2023
34. Buy ID: 40,         Sell ID: 48,    Price: 100.25,  Quantity: 50,   Timestamp: Mon Jul 24 14:42:35 2023
35. Buy ID: 39,         Sell ID: 48,    Price: 100.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
36. Buy ID: 38,         Sell ID: 50,    Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
37. Buy ID: 41,         Sell ID: 51,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
38. Buy ID: 42,         Sell ID: 50,    Price: 100.75,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:35 2023
39. Buy ID: 45,         Sell ID: 52,    Price: 101.25,  Quantity: 100,  Timestamp: Mon Jul 24 14:42:35 2023
40. Buy ID: 44,         Sell ID: 53,    Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
41. Buy ID: 49,         Sell ID: 56,    Price: 100.25,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:35 2023
42. Buy ID: 48,         Sell ID: 56,    Price: 100.25,  Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
43. Buy ID: 50,         Sell ID: 55,    Price: 100.75,  Quantity: 75,   Timestamp: Mon Jul 24 14:42:35 2023
44. Buy ID: 50,         Sell ID: 57,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
45. Buy ID: 48,         Sell ID: 57,    Price: 100,     Quantity: 50,   Timestamp: Mon Jul 24 14:42:35 2023
46. Buy ID: 51,         Sell ID: 58,    Price: 100.75,  Quantity: 50,   Timestamp: Mon Jul 24 14:42:35 2023
47. Buy ID: 48,         Sell ID: 59,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 14:42:35 2023
